         2072770 function calls in 1.200 seconds

   Ordered by: cumulative time
   List reduced from 79 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    1.200    1.200 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:174(Kside_veg_v2022a)
      700    0.000    0.000    0.783    0.001 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:228(<genexpr>)
      560    0.057    0.000    0.783    0.001 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:96(_block)
   107100    0.508    0.000    0.675    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility.py:110(decode_pixels)
      140    0.027    0.000    0.402    0.003 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:111(_classes)
    21420    0.111    0.000    0.374    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:410(shaded_or_sunlit)
    21420    0.044    0.000    0.311    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility.py:260(decode_pixels)
   152809    0.110    0.000    0.208    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1703(_operate)
   195652    0.071    0.000    0.123    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1691(_operands)
   541413    0.083    0.000    0.083    0.000 {built-in method numpy.asarray}
    42843    0.031    0.000    0.055    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1687(_divide)
   107100    0.036    0.000    0.048    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility.py:50(_patch)
   107100    0.032    0.000    0.032    0.000 {built-in method numpy.arange}
   107100    0.027    0.000    0.027    0.000 {built-in method numpy.frombuffer}
   107100    0.020    0.000    0.020    0.000 {method 'view' of 'numpy.ndarray' objects}
   321300    0.012    0.000    0.012    0.000 {built-in method _operator.index}
   128704    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
      140    0.008    0.000    0.008    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:124(_shortwave)
    85823    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
    21420    0.001    0.000    0.001    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/multiarray.py:403(where)
      140    0.001    0.000    0.001    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/numeric.py:97(zeros_like)
      561    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:208(<listcomp>)
      282    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.11/3.11.16/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:3261(signature)


