         2072773 function calls in 1.187 seconds

   Ordered by: cumulative time
   List reduced from 79 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    1.187    1.187 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:174(Kside_veg_v2022a)
      700    0.000    0.000    0.776    0.001 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:228(<genexpr>)
      560    0.057    0.000    0.775    0.001 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:96(_block)
   107100    0.506    0.000    0.668    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility.py:110(decode_pixels)
      140    0.026    0.000    0.396    0.003 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:111(_classes)
    21420    0.110    0.000    0.368    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:410(shaded_or_sunlit)
    21420    0.043    0.000    0.306    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility.py:260(decode_pixels)
   152809    0.109    0.000    0.205    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1703(_operate)
   195652    0.070    0.000    0.121    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1691(_operands)
   541413    0.082    0.000    0.082    0.000 {built-in method numpy.asarray}
    42843    0.030    0.000    0.055    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1687(_divide)
   107100    0.035    0.000    0.047    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility.py:50(_patch)
   107100    0.032    0.000    0.032    0.000 {built-in method numpy.arange}
   107100    0.025    0.000    0.025    0.000 {built-in method numpy.frombuffer}
   107100    0.020    0.000    0.020    0.000 {method 'view' of 'numpy.ndarray' objects}
   321300    0.012    0.000    0.012    0.000 {built-in method _operator.index}
   128704    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
      140    0.008    0.000    0.008    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:124(_shortwave)
    85823    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
    21420    0.001    0.000    0.001    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/multiarray.py:403(where)
      140    0.001    0.000    0.001    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/numeric.py:97(zeros_like)
      561    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
      282    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:208(<listcomp>)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)


