Sat Sep 19 15:57:37 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_full_profile_repeated256_v2/profile/worker.pstats

         51645601 function calls (48919657 primitive calls) in 38.857 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    859/1    0.010    0.000   38.885   38.885 {built-in method builtins.exec}
        1    0.000    0.000   38.885   38.885 <frozen runpy>:201(run_module)
        1    0.000    0.000   38.840   38.840 <frozen runpy>:65(_run_code)
        1    0.000    0.000   38.840   38.840 runtime_worker.py:1(<module>)
        1    0.000    0.000   38.838   38.838 runtime_worker.py:39(main)
        1    0.000    0.000   35.688   35.688 pipeline.py:79(run_tile)
        1    0.016    0.016   35.688   35.688 pipeline.py:91(_run_tile)
       24    0.026    0.001   21.275    0.886 engine.py:1477(Solweig_2022a_calc)
   243/16    0.003    0.000   16.154    1.010 dispatcher.py:860(compile)
 3136/711    0.005    0.000   16.118    0.023 compiler_lock.py:32(_acquire_compile_lock)
    74/18    0.000    0.000   16.027    0.890 compiler.py:713(compile_extra)
    77/18    0.000    0.000   16.016    0.890 compiler.py:433(compile_extra)
    77/18    0.000    0.000   15.996    0.889 compiler.py:500(_compile_bytecode)
    77/18    0.001    0.000   15.996    0.889 compiler.py:456(_compile_core)
    93/18    0.004    0.000   15.990    0.888 compiler_machinery.py:342(run)
 2215/486    0.035    0.000   15.983    0.033 compiler_machinery.py:267(_runPass)
6637/1458    0.008    0.000   15.937    0.011 compiler_machinery.py:271(check)
    72/16    0.000    0.000   15.625    0.977 dispatcher.py:79(compile)
    72/16    0.000    0.000   15.625    0.977 dispatcher.py:86(_compile_cached)
    72/16    0.004    0.000   15.625    0.977 dispatcher.py:101(_compile_core)
       12    0.000    0.000   14.702    1.225 dispatcher.py:342(_compile_for_args)
    81/21    0.001    0.000   10.552    0.502 typed_passes.py:107(run_pass)
    81/21    0.002    0.000   10.552    0.502 typed_passes.py:68(type_inference_stage)
    81/21    0.001    0.000   10.485    0.499 typeinfer.py:1064(propagate)
   165/45    0.024    0.000   10.482    0.233 typeinfer.py:147(propagate)
8535/3125    0.037    0.000   10.229    0.003 typeinfer.py:574(resolve)
8535/3125    0.006    0.000   10.165    0.003 typeinfer.py:1531(resolve_call)
11956/3280    0.011    0.000   10.164    0.003 context.py:268(resolve_function_type)
11880/3218    0.020    0.000   10.133    0.003 context.py:320(_resolve_user_function_type)
   227/39    0.001    0.000    9.414    0.241 functions.py:535(get_call_type)
   227/39    0.001    0.000    9.413    0.241 dispatcher.py:302(get_call_template)
4074/1080    0.030    0.000    9.135    0.008 typeinfer.py:564(__call__)
       24    0.000    0.000    8.757    0.365 engine.py:1752(Lcyl_v2022a)
       24    0.002    0.000    8.755    0.365 patch_radiation.py:392(Lcyl_v2022a)
       24    0.077    0.003    8.741    0.364 patch_radiation.py:355(define_patch_characteristics)
    69/35    0.004    0.000    7.398    0.211 typed_passes.py:439(run_pass)
       24    0.004    0.000    7.263    0.303 utci.py:412(utci_calculator_uniform)
       14    0.000    0.000    6.288    0.449 ground_view.py:365(gvf_2018a)
       14    0.029    0.002    6.288    0.449 ground_view.py:268(_gvf)
      252    0.132    0.001    6.248    0.025 ground_view.py:170(_sun)
    69/35    0.001    0.000    5.569    0.159 lowering.py:188(lower)
      252    0.007    0.000    5.531    0.022 ground_view.py:141(_gather)
10510/9963    0.141    0.000    5.069    0.001 functions.py:285(get_call_type)
    69/35    0.000    0.000    5.005    0.143 lowering.py:218(lower_normal_function)
    69/35    0.001    0.000    4.979    0.142 lowering.py:235(lower_function_body)
  513/358    0.033    0.000    4.976    0.014 lowering.py:260(lower_block)
20887/19129    0.278    0.000    4.832    0.000 lowering.py:457(lower_inst)
      252    4.637    0.018    4.637    0.018 ground_view.py:126(_gather_serial)
    65536    0.161    0.000    4.392    0.000 patch_radiation.py:96(_block)
    65536    0.284    0.000    4.136    0.000 visibility_compiled.py:69(decode_block)
       14    0.000    0.000    3.975    0.284 engine.py:1736(Kside_veg_v2022a)
       14    0.058    0.004    3.974    0.284 patch_radiation.py:218(Kside_veg_v2022a)
55382/51601    0.045    0.000    3.841    0.000 templates.py:356(apply)
        1    0.000    0.000    3.536    3.536 geometry.py:287(get_or_create)
        1    0.000    0.000    3.477    3.477 pipeline.py:180(produce_geometry)
        1    0.000    0.000    3.476    3.476 svf.py:163(svf_calculator_compact)
        1    0.260    0.260    3.476    3.476 svf.py:87(_calculate_svf)
       99    0.002    0.000    3.359    0.034 __init__.py:1(<module>)
2423/1347    0.004    0.000    3.211    0.002 <frozen importlib._bootstrap>:1165(_find_and_load)
   817/12    0.002    0.000    3.209    0.267 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   781/12    0.002    0.000    3.209    0.267 <frozen importlib._bootstrap>:666(_load_unlocked)
   690/12    0.001    0.000    3.208    0.267 <frozen importlib._bootstrap_external>:934(exec_module)
  1998/25    0.001    0.000    3.203    0.128 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    3.148    3.148 pipeline.py:1(<module>)
14131/13020    0.013    0.000    3.058    0.000 templates.py:614(generic)
14131/13020    0.025    0.000    3.044    0.000 templates.py:705(_get_impl)
   685/23    0.001    0.000    2.892    0.126 {built-in method builtins.__import__}
4194/3924    0.005    0.000    2.744    0.001 base.py:1208(__call__)
4194/3924    0.004    0.000    2.732    0.001 base.py:1237(wrapper)
      153    0.001    0.000    2.715    0.018 shadows.py:113(shadow)
      153    0.001    0.000    2.709    0.018 sky_compiled.py:344(shadow_pixel_serial)
      153    0.002    0.000    2.708    0.018 sky_compiled.py:321(_shadow_pixel)
    49152    0.013    0.000    2.622    0.000 patch_radiation.py:386(<genexpr>)
