         451904 function calls in 0.263 seconds

   Ordered by: cumulative time
   List reduced from 102 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.263    0.263 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:350(Lcyl_v2022a)
        1    0.002    0.002    0.263    0.263 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:314(define_patch_characteristics)
      140    0.016    0.000    0.206    0.001 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:115(_classes)
    10640    0.059    0.000    0.190    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:410(shaded_or_sunlit)
    74738    0.052    0.000    0.101    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1703(_operate)
    96031    0.036    0.000    0.062    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1691(_operands)
      140    0.031    0.000    0.031    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:247(_longwave)
    21293    0.016    0.000    0.029    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/engine.py:1687(_divide)
   213569    0.026    0.000    0.026    0.000 {built-in method numpy.asarray}
      560    0.000    0.000    0.023    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:344(<genexpr>)
      420    0.001    0.000    0.023    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:96(_block)
      420    0.003    0.000    0.021    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility_compiled.py:69(decode_block)
      420    0.017    0.000    0.017    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility_compiled.py:17(_decode)
    10640    0.001    0.000    0.001    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/multiarray.py:403(where)
    11692    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      142    0.001    0.000    0.001    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/numeric.py:97(zeros_like)
      420    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.11/3.11.16/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:558(__exit__)
      565    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
      424    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/radiation/patch_radiation.py:335(<listcomp>)
      980    0.000    0.000    0.000    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numba/core/serialize.py:30(_numba_unpickle)
      284    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      420    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      840    0.000    0.000    0.000    0.000 /Users/alansynn/Workspace/solweig-light/src/solweig_light/geometry/visibility_compiled.py:72(<genexpr>)
      431    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}


