Sat Sep 19 16:22:50 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_distinct_variant/small_v1/profile/worker.pstats

         7198627 function calls (6895792 primitive calls) in 4.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    856/1    0.010    0.000    4.385    4.385 {built-in method builtins.exec}
        1    0.000    0.000    4.385    4.385 <frozen runpy>:201(run_module)
        1    0.000    0.000    4.341    4.341 <frozen runpy>:65(_run_code)
        1    0.000    0.000    4.341    4.341 runtime_worker.py:1(<module>)
        1    0.000    0.000    4.339    4.339 runtime_worker.py:39(main)
       99    0.002    0.000    4.026    0.041 __init__.py:1(<module>)
 1154/259    0.003    0.000    2.274    0.009 <frozen importlib._bootstrap>:1165(_find_and_load)
   816/12    0.002    0.000    2.274    0.189 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   780/12    0.002    0.000    2.273    0.189 <frozen importlib._bootstrap>:666(_load_unlocked)
   689/12    0.001    0.000    2.272    0.189 <frozen importlib._bootstrap_external>:934(exec_module)
  1996/25    0.001    0.000    2.268    0.091 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    2.215    2.215 pipeline.py:1(<module>)
        1    0.000    0.000    2.123    2.123 pipeline.py:79(run_tile)
        1    0.003    0.003    2.122    2.122 pipeline.py:91(_run_tile)
   685/23    0.001    0.000    1.952    0.085 {built-in method builtins.__import__}
       24    0.005    0.000    1.655    0.069 engine.py:1477(Solweig_2022a_calc)
  662/349    0.001    0.000    1.597    0.005 compiler_lock.py:32(_acquire_compile_lock)
    28/14    0.000    0.000    1.565    0.112 dispatcher.py:860(compile)
      9/5    0.000    0.000    1.539    0.308 compiler.py:713(compile_extra)
     10/5    0.000    0.000    1.535    0.307 compiler.py:433(compile_extra)
     10/5    0.000    0.000    1.529    0.306 compiler.py:500(_compile_bytecode)
     10/5    0.000    0.000    1.529    0.306 compiler.py:456(_compile_core)
     13/5    0.001    0.000    1.528    0.306 compiler_machinery.py:342(run)
  318/135    0.005    0.000    1.526    0.011 compiler_machinery.py:267(_runPass)
  954/405    0.001    0.000    1.513    0.004 compiler_machinery.py:271(check)
  348/328    0.000    0.000    1.458    0.004 __init__.py:108(import_module)
  348/328    0.000    0.000    1.458    0.004 <frozen importlib._bootstrap>:1192(_gcd_import)
15386/9390    0.010    0.000    1.392    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
66611/47017    0.007    0.000    1.217    0.000 {built-in method builtins.hasattr}
       10    0.000    0.000    1.134    0.113 dispatcher.py:342(_compile_for_args)
      7/3    0.000    0.000    1.101    0.367 dispatcher.py:79(compile)
      7/3    0.000    0.000    1.101    0.367 dispatcher.py:86(_compile_cached)
      7/3    0.000    0.000    1.101    0.367 dispatcher.py:101(_compile_core)
      5/1    0.000    0.000    1.097    1.097 __init__.py:76(__getattr__)
        1    0.000    0.000    1.096    1.096 timezonefinder.py:1(<module>)
        5    0.000    0.000    1.015    0.203 utils.py:1(<module>)
        1    0.000    0.000    1.014    1.014 polygon_array.py:1(<module>)
  780/779    0.001    0.000    1.011    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
    87/86    0.000    0.000    0.999    0.012 <frozen importlib._bootstrap_external>:1231(create_module)
    87/86    0.998    0.011    0.999    0.012 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.988    0.988 utils_numba.py:1(<module>)
       14    0.000    0.000    0.902    0.064 engine.py:1722(shadowingfunction_wallheight_23)
       14    0.000    0.000    0.901    0.064 wall_shadows.py:177(exact_23)
     10/8    0.001    0.000    0.681    0.085 typed_passes.py:439(run_pass)
     10/5    0.000    0.000    0.581    0.116 typed_passes.py:107(run_pass)
     10/5    0.000    0.000    0.581    0.116 typed_passes.py:68(type_inference_stage)
     10/5    0.000    0.000    0.557    0.111 typeinfer.py:1064(propagate)
