Sat Sep 19 16:09:04 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_experiment/small_v1/profile/worker.pstats

         17681082 function calls (16911465 primitive calls) in 7.658 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    858/1    0.010    0.000    7.670    7.670 {built-in method builtins.exec}
        1    0.000    0.000    7.670    7.670 <frozen runpy>:201(run_module)
        1    0.000    0.000    7.627    7.627 <frozen runpy>:65(_run_code)
        1    0.000    0.000    7.627    7.627 runtime_worker.py:1(<module>)
        1    0.000    0.000    7.626    7.626 runtime_worker.py:39(main)
        1    0.000    0.000    5.685    5.685 pipeline.py:79(run_tile)
        1    0.003    0.003    5.684    5.684 pipeline.py:91(_run_tile)
       24    0.005    0.000    5.266    0.219 engine.py:1477(Solweig_2022a_calc)
   214/14    0.002    0.000    5.174    0.370 dispatcher.py:860(compile)
 2184/403    0.003    0.000    5.164    0.013 compiler_lock.py:32(_acquire_compile_lock)
     54/7    0.000    0.000    5.115    0.731 compiler.py:713(compile_extra)
     55/7    0.000    0.000    5.110    0.730 compiler.py:433(compile_extra)
     55/7    0.000    0.000    5.096    0.728 compiler.py:500(_compile_bytecode)
     55/7    0.001    0.000    5.096    0.728 compiler.py:456(_compile_core)
     62/7    0.003    0.000    5.094    0.728 compiler_machinery.py:342(run)
 1477/189    0.022    0.000    5.091    0.027 compiler_machinery.py:267(_runPass)
 4423/567    0.004    0.000    5.070    0.009 compiler_machinery.py:271(check)
       10    0.000    0.000    4.757    0.476 dispatcher.py:342(_compile_for_args)
     52/5    0.000    0.000    4.734    0.947 dispatcher.py:79(compile)
     52/5    0.000    0.000    4.734    0.947 dispatcher.py:86(_compile_cached)
     52/5    0.001    0.000    4.734    0.947 dispatcher.py:101(_compile_core)
    47/16    0.003    0.000    3.395    0.212 typed_passes.py:439(run_pass)
       24    0.000    0.000    3.245    0.135 engine.py:1752(Lcyl_v2022a)
       24    0.002    0.000    3.242    0.135 patch_radiation.py:392(Lcyl_v2022a)
       24    0.002    0.000    3.229    0.135 patch_radiation.py:355(define_patch_characteristics)
       99    0.002    0.000    3.198    0.032 __init__.py:1(<module>)
2619/2169    0.046    0.000    2.863    0.001 functions.py:285(get_call_type)
    47/16    0.001    0.000    2.779    0.174 lowering.py:188(lower)
     59/8    0.001    0.000    2.629    0.329 typed_passes.py:107(run_pass)
     59/8    0.001    0.000    2.628    0.329 typed_passes.py:68(type_inference_stage)
     59/8    0.000    0.000    2.598    0.325 typeinfer.py:1064(propagate)
   118/16    0.006    0.000    2.596    0.162 typeinfer.py:147(propagate)
23701/20680    0.018    0.000    2.577    0.000 templates.py:356(apply)
    47/16    0.000    0.000    2.537    0.159 lowering.py:218(lower_normal_function)
    47/16    0.001    0.000    2.525    0.158 lowering.py:235(lower_function_body)
  270/167    0.008    0.000    2.523    0.015 lowering.py:260(lower_block)
5181/3985    0.016    0.000    2.501    0.001 lowering.py:457(lower_inst)
