Sat Sep 19 16:15:40 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_serial_variant/small_v1/profile/worker.pstats

         7157498 function calls (6854664 primitive calls) in 4.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    856/1    0.010    0.000    4.314    4.314 {built-in method builtins.exec}
        1    0.000    0.000    4.314    4.314 <frozen runpy>:201(run_module)
        1    0.000    0.000    4.262    4.262 <frozen runpy>:65(_run_code)
        1    0.000    0.000    4.262    4.262 runtime_worker.py:1(<module>)
        1    0.000    0.000    4.260    4.260 runtime_worker.py:39(main)
       99    0.002    0.000    3.476    0.035 __init__.py:1(<module>)
 1154/259    0.003    0.000    2.241    0.009 <frozen importlib._bootstrap>:1165(_find_and_load)
   816/12    0.002    0.000    2.241    0.187 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   780/12    0.002    0.000    2.240    0.187 <frozen importlib._bootstrap>:666(_load_unlocked)
   689/12    0.001    0.000    2.240    0.187 <frozen importlib._bootstrap_external>:934(exec_module)
  1996/25    0.001    0.000    2.235    0.089 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    2.175    2.175 pipeline.py:1(<module>)
        1    0.000    0.000    2.084    2.084 pipeline.py:79(run_tile)
        1    0.003    0.003    2.083    2.083 pipeline.py:91(_run_tile)
   685/23    0.001    0.000    1.830    0.080 {built-in method builtins.__import__}
       24    0.005    0.000    1.631    0.068 engine.py:1477(Solweig_2022a_calc)
    28/14    0.000    0.000    1.543    0.110 dispatcher.py:860(compile)
  662/349    0.001    0.000    1.521    0.004 compiler_lock.py:32(_acquire_compile_lock)
      9/5    0.000    0.000    1.465    0.293 compiler.py:713(compile_extra)
  348/328    0.000    0.000    1.464    0.004 __init__.py:108(import_module)
  348/328    0.000    0.000    1.464    0.004 <frozen importlib._bootstrap>:1192(_gcd_import)
     10/5    0.000    0.000    1.461    0.292 compiler.py:433(compile_extra)
     10/5    0.000    0.000    1.454    0.291 compiler.py:500(_compile_bytecode)
     10/5    0.000    0.000    1.454    0.291 compiler.py:456(_compile_core)
     13/5    0.001    0.000    1.453    0.291 compiler_machinery.py:342(run)
  318/135    0.005    0.000    1.451    0.011 compiler_machinery.py:267(_runPass)
  954/405    0.001    0.000    1.438    0.004 compiler_machinery.py:271(check)
15386/9390    0.009    0.000    1.334    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
66611/47017    0.007    0.000    1.147    0.000 {built-in method builtins.hasattr}
       10    0.000    0.000    1.115    0.112 dispatcher.py:342(_compile_for_args)
      7/3    0.000    0.000    1.085    0.362 dispatcher.py:79(compile)
      7/3    0.000    0.000    1.085    0.362 dispatcher.py:86(_compile_cached)
      7/3    0.001    0.000    1.085    0.362 dispatcher.py:101(_compile_core)
      5/1    0.000    0.000    1.031    1.031 __init__.py:76(__getattr__)
        1    0.000    0.000    1.031    1.031 timezonefinder.py:1(<module>)
  780/779    0.001    0.000    1.016    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
