Sat Sep 19 15:59:11 2026    /Users/alansynn/Workspace/solweig-light/reports/p7_profile_small_warmed_v1/profile/worker.pstats

         48063836 function calls (45337892 primitive calls) in 19.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    859/1    0.010    0.000   19.416   19.416 {built-in method builtins.exec}
        1    0.000    0.000   19.416   19.416 <frozen runpy>:201(run_module)
        1    0.000    0.000   19.382   19.382 <frozen runpy>:65(_run_code)
        1    0.000    0.000   19.382   19.382 runtime_worker.py:1(<module>)
        1    0.000    0.000   19.380   19.380 runtime_worker.py:39(main)
   243/16    0.003    0.000   16.259    1.016 dispatcher.py:860(compile)
 3136/711    0.005    0.000   16.149    0.023 compiler_lock.py:32(_acquire_compile_lock)
    74/18    0.000    0.000   15.990    0.888 compiler.py:713(compile_extra)
    77/18    0.000    0.000   15.979    0.888 compiler.py:433(compile_extra)
    77/18    0.000    0.000   15.958    0.887 compiler.py:500(_compile_bytecode)
    77/18    0.001    0.000   15.958    0.887 compiler.py:456(_compile_core)
    93/18    0.004    0.000   15.953    0.886 compiler_machinery.py:342(run)
 2215/486    0.036    0.000   15.945    0.033 compiler_machinery.py:267(_runPass)
6637/1458    0.008    0.000   15.898    0.011 compiler_machinery.py:271(check)
        1    0.000    0.000   15.775   15.775 pipeline.py:79(run_tile)
        1    0.003    0.003   15.771   15.771 pipeline.py:91(_run_tile)
    72/16    0.000    0.000   15.580    0.974 dispatcher.py:79(compile)
    72/16    0.000    0.000   15.580    0.974 dispatcher.py:86(_compile_cached)
    72/16    0.004    0.000   15.580    0.974 dispatcher.py:101(_compile_core)
       12    0.000    0.000   14.604    1.217 dispatcher.py:342(_compile_for_args)
    81/21    0.001    0.000   10.413    0.496 typed_passes.py:107(run_pass)
    81/21    0.002    0.000   10.412    0.496 typed_passes.py:68(type_inference_stage)
    81/21    0.001    0.000   10.344    0.493 typeinfer.py:1064(propagate)
   165/45    0.025    0.000   10.341    0.230 typeinfer.py:147(propagate)
8535/3125    0.036    0.000   10.084    0.003 typeinfer.py:574(resolve)
8535/3125    0.006    0.000   10.020    0.003 typeinfer.py:1531(resolve_call)
11956/3280    0.011    0.000   10.019    0.003 context.py:268(resolve_function_type)
11880/3218    0.020    0.000    9.987    0.003 context.py:320(_resolve_user_function_type)
   227/39    0.001    0.000    9.214    0.236 functions.py:535(get_call_type)
   227/39    0.001    0.000    9.213    0.236 dispatcher.py:302(get_call_template)
4074/1080    0.031    0.000    8.979    0.008 typeinfer.py:564(__call__)
    69/35    0.005    0.000    7.503    0.214 typed_passes.py:439(run_pass)
       24    0.005    0.000    7.395    0.308 engine.py:1477(Solweig_2022a_calc)
       24    0.001    0.000    6.857    0.286 utci.py:412(utci_calculator_uniform)
    69/35    0.001    0.000    5.576    0.159 lowering.py:188(lower)
10510/9963    0.140    0.000    5.081    0.001 functions.py:285(get_call_type)
    69/35    0.000    0.000    4.994    0.143 lowering.py:218(lower_normal_function)
    69/35    0.001    0.000    4.967    0.142 lowering.py:235(lower_function_body)
  513/358    0.032    0.000    4.964    0.014 lowering.py:260(lower_block)
