Sat Sep 19 15:59:32 2026    reports/p7_profile_small_warmed_v1/warm_profile/worker.warm.pstats

         2943243 function calls (2819311 primitive calls) in 2.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.002    0.000    3.359    0.034 __init__.py:1(<module>)
    846/1    0.010    0.000    2.647    2.647 {built-in method builtins.exec}
        1    0.000    0.000    2.647    2.647 <frozen runpy>:201(run_module)
        1    0.000    0.000    2.599    2.599 <frozen runpy>:65(_run_code)
        1    0.000    0.000    2.599    2.599 runtime_worker.py:1(<module>)
        1    0.000    0.000    2.598    2.598 runtime_worker.py:39(main)
    901/8    0.003    0.000    2.458    0.307 <frozen importlib._bootstrap>:1165(_find_and_load)
    812/8    0.002    0.000    2.458    0.307 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    776/8    0.002    0.000    2.457    0.307 <frozen importlib._bootstrap>:666(_load_unlocked)
    685/8    0.001    0.000    2.457    0.307 <frozen importlib._bootstrap_external>:934(exec_module)
  1988/17    0.001    0.000    2.453    0.144 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    2.402    2.402 pipeline.py:1(<module>)
   685/23    0.001    0.000    1.920    0.083 {built-in method builtins.__import__}
    99/79    0.000    0.000    1.662    0.021 __init__.py:108(import_module)
    99/79    0.000    0.000    1.662    0.021 <frozen importlib._bootstrap>:1192(_gcd_import)
8995/2999    0.006    0.000    1.391    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
35598/16004    0.004    0.000    1.203    0.000 {built-in method builtins.hasattr}
      5/1    0.000    0.000    1.090    1.090 __init__.py:76(__getattr__)
        1    0.000    0.000    1.090    1.090 timezonefinder.py:1(<module>)
        5    0.000    0.000    1.019    0.204 utils.py:1(<module>)
  776/775    0.001    0.000    1.018    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    1.013    1.013 polygon_array.py:1(<module>)
    87/86    0.000    0.000    1.007    0.012 <frozen importlib._bootstrap_external>:1231(create_module)
    87/86    1.006    0.012    1.007    0.012 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.983    0.983 utils_numba.py:1(<module>)
  322/258    0.000    0.000    0.582    0.002 compiler_lock.py:32(_acquire_compile_lock)
    66/21    0.000    0.000    0.560    0.027 decorators.py:204(wrapper)
        4    0.000    0.000    0.538    0.134 dispatcher.py:860(compile)
        4    0.000    0.000    0.537    0.134 caching.py:713(load_overload)
   265/14    0.000    0.000    0.526    0.038 base.py:261(refresh)
      265    0.002    0.000    0.465    0.002 cpu.py:102(load_additional_registries)
        1    0.000    0.000    0.461    0.461 __init__.py:25(swig_import_helper)
        1    0.000    0.000    0.448    0.448 wbgt.py:1(<module>)
        1    0.000    0.000    0.448    0.448 decorators.py:128(wrap)
        2    0.000    0.000    0.447    0.223 dufunc.py:283(add)
        2    0.000    0.000    0.446    0.223 dufunc.py:336(_compile_for_argtys)
        2    0.000    0.000    0.396    0.198 ufuncbuilder.py:178(_compile_element_wise_function)
        2    0.000    0.000    0.396    0.198 ufuncbuilder.py:110(compile)
        2    0.000    0.000    0.396    0.198 ufuncbuilder.py:131(_compile_core)
        2    0.000    0.000    0.396    0.198 compiler.py:713(compile_extra)
        2    0.000    0.000    0.393    0.197 compiler.py:433(compile_extra)
        2    0.000    0.000    0.391    0.195 compiler.py:500(_compile_bytecode)
        2    0.000    0.000    0.391    0.195 compiler.py:456(_compile_core)
        2    0.000    0.000    0.390    0.195 compiler_machinery.py:342(run)
       54    0.001    0.000    0.389    0.007 compiler_machinery.py:267(_runPass)
      162    0.000    0.000    0.385    0.002 compiler_machinery.py:271(check)
        2    0.000    0.000    0.239    0.120 _support_alternative_backends.py:1(<module>)
        1    0.000    0.000    0.235    0.235 arraymath.py:1(<module>)
        1    0.000    0.000    0.230    0.230 arraymath.py:35(_check_blas)
        1    0.000    0.000    0.230    0.230 linalg.py:55(ensure_blas)
    87/71    0.000    0.000    0.220    0.003 <frozen importlib._bootstrap_external>:1239(exec_module)
    87/71    0.020    0.000    0.220    0.003 {built-in method _imp.exec_dynamic}
2375/2371    0.204    0.000    0.216    0.000 ffi.py:210(__call__)
      686    0.003    0.000    0.212    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.197    0.197 engine.py:1(<module>)
        1    0.000    0.000    0.192    0.192 pipeline.py:79(run_tile)
        1    0.001    0.001    0.188    0.188 pipeline.py:91(_run_tile)
      686    0.001    0.000    0.148    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        2    0.000    0.000    0.146    0.073 typed_passes.py:439(run_pass)
        1    0.000    0.000    0.145    0.145 _ndimage_api.py:1(<module>)
        2    0.000    0.000    0.136    0.068 datetime.py:1(<module>)
        4    0.000    0.000    0.130    0.033 context.py:1(<module>)
      512    0.007    0.000    0.127    0.000 functions.py:285(get_call_type)
        3    0.000    0.000    0.123    0.041 decorators.py:1(<module>)
        2    0.000    0.000    0.120    0.060 typed_passes.py:107(run_pass)
      265    0.000    0.000    0.120    0.000 nrt.py:19(initialize)
        2    0.000    0.000    0.120    0.060 typed_passes.py:68(type_inference_stage)
        1    0.000    0.000    0.120    0.120 nrtdynmod.py:221(compile_nrt_functions)
     1484    0.120    0.000    0.120    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.117    0.023 codegen.py:748(finalize)
        2    0.000    0.000    0.117    0.058 config.py:1(<module>)
        2    0.000    0.000    0.114    0.057 typeinfer.py:1064(propagate)
        4    0.001    0.000    0.114    0.029 typeinfer.py:147(propagate)
        1    0.000    0.000    0.112    0.112 _interpolation.py:1(<module>)
        1    0.000    0.000    0.111    0.111 __init__.py:129(__getattr__)
        1    0.000    0.000    0.110    0.110 stencil.py:1(<module>)
      243    0.000    0.000    0.110    0.000 _docscrape.py:579(__init__)
        2    0.000    0.000    0.108    0.054 lowering.py:188(lower)
      360    0.001    0.000    0.102    0.000 typeinfer.py:574(resolve)
      316    0.001    0.000    0.100    0.000 typeinfer.py:693(__call__)
        1    0.000    0.000    0.098    0.098 typeof.py:1(<module>)
     2783    0.001    0.000    0.095    0.000 ffi.py:153(__getattr__)
        1    0.000    0.000    0.095    0.095 dylib.py:1(<module>)
      360    0.000    0.000    0.095    0.000 typeinfer.py:1531(resolve_call)
      172    0.001    0.000    0.095    0.001 _array_api.py:840(decorator)
      243    0.001    0.000    0.094    0.000 _docscrape.py:140(__init__)
        9    0.000    0.000    0.094    0.010 codegen.py:792(_finalize_final_module)
      360    0.000    0.000    0.094    0.000 context.py:268(resolve_function_type)
      295    0.000    0.000    0.094    0.000 ffi.py:146(_lib)
        1    0.000    0.000    0.094    0.094 ffi.py:117(_load_lib)
        2    0.000    0.000    0.092    0.046 __init__.py:342(__init__)
        2    0.092    0.046    0.092    0.046 {built-in method _ctypes.dlopen}
      360    0.001    0.000    0.091    0.000 context.py:320(_resolve_user_function_type)
        9    0.000    0.000    0.091    0.010 codegen.py:1007(_finalize_specific)
        7    0.000    0.000    0.091    0.013 codegen.py:732(add_ir_module)
       26    0.000    0.000    0.090    0.003 codegen.py:1069(wrapper)
        9    0.000    0.000    0.090    0.010 executionengine.py:94(finalize_object)
        2    0.000    0.000    0.089    0.045 lowering.py:218(lower_normal_function)
        2    0.000    0.000    0.089    0.044 lowering.py:235(lower_function_body)
       20    0.001    0.000    0.089    0.004 lowering.py:260(lower_block)
      664    0.002    0.000    0.085    0.000 lowering.py:457(lower_inst)
        1    0.000    0.000    0.085    0.085 _util.py:1(<module>)
        1    0.000    0.000    0.084    0.084 _array_api.py:1(<module>)
    267/8    0.000    0.000    0.080    0.010 context.py:232(refresh)
        3    0.000    0.000    0.075    0.025 registry.py:1(<module>)
        1    0.000    0.000    0.074    0.074 dispatcher.py:1(<module>)
       79    0.000    0.000    0.074    0.001 newpassmanagers.py:120(run)
      320    0.000    0.000    0.073    0.000 lowering.py:666(lower_assign)
      243    0.002    0.000    0.071    0.000 _docscrape.py:388(_parse)
       93    0.000    0.000    0.069    0.001 __init__.py:704(__getattr__)
      194    0.000    0.000    0.069    0.000 lowering.py:1244(lower_expr)
        7    0.000    0.000    0.068    0.010 codegen.py:741(add_llvm_module)
        7    0.000    0.000    0.066    0.009 codegen.py:653(_optimize_functions)
        3    0.000    0.000    0.065    0.022 _internal.py:56(clone_module)
     3572    0.003    0.000    0.065    0.000 templates.py:356(apply)
      152    0.002    0.000    0.063    0.000 lowering.py:742(lower_binop)
        1    0.000    0.000    0.058    0.058 timezonefinder.py:1001(__init__)
   180/94    0.000    0.000    0.057    0.001 functools.py:981(__get__)
        1    0.000    0.000    0.057    0.057 compiler.py:1(<module>)
        2    0.000    0.000    0.055    0.027 polygon_array.py:55(__init__)
      686    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       18    0.000    0.000    0.052    0.003 postproc.py:71(run)
        1    0.000    0.000    0.051    0.051 _pickle.py:1(<module>)
      686    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
63422/9564    0.037    0.000    0.050    0.000 ir.py:321(_rec_list_vars)
        2    0.000    0.000    0.050    0.025 ufuncbuilder.py:202(_build_element_wise_ufunc_wrapper)
2383/2373    0.016    0.000    0.050    0.000 {built-in method builtins.__build_class__}
     2453    0.002    0.000    0.049    0.000 __init__.py:272(_compile)
      912    0.001    0.000    0.049    0.000 npydecl.py:196(generic)
        2    0.000    0.000    0.048    0.024 coord_accessors.py:244(create_coord_accessor)
        2    0.008    0.004    0.048    0.024 coord_accessors.py:96(__init__)
        2    0.000    0.000    0.048    0.024 __config__.py:1(<module>)
      797    0.005    0.000    0.048    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.048    0.048 <frozen runpy>:105(_get_module_details)
        8    0.000    0.000    0.048    0.006 codegen.py:986(get_pointer_to_function)
    16/12    0.000    0.000    0.048    0.004 codegen.py:567(_ensure_finalized)
      588    0.000    0.000    0.047    0.000 __init__.py:225(compile)
    267/8    0.000    0.000    0.047    0.006 context.py:482(_load_builtins)
  2403/72    0.005    0.000    0.047    0.001 context.py:495(install_registry)
      932    0.003    0.000    0.046    0.000 npydecl.py:92(generic)
      172    0.001    0.000    0.046    0.000 _compiler.py:740(compile)
        2    0.000    0.000    0.045    0.023 _basic.py:1(<module>)
        1    0.000    0.000    0.044    0.044 _support_alternative_backends.py:871(<dictcomp>)
       91    0.000    0.000    0.044    0.000 _support_alternative_backends.py:86(wrapper)
      267    0.001    0.000    0.044    0.000 context.py:811(load_additional_registries)
      259    0.000    0.000    0.042    0.000 templates.py:1054(__init__)
     7380    0.001    0.000    0.042    0.000 ir.py:354(list_vars)
      247    0.000    0.000    0.040    0.000 templates.py:1100(_init_once)
      259    0.001    0.000    0.040    0.000 templates.py:907(_get_target_registry)
        2    0.001    0.000    0.040    0.020 polygons.py:276(derive_payload_offset_table)
419912/419910    0.027    0.000    0.039    0.000 {built-in method builtins.isinstance}
      798    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
       10    0.002    0.000    0.039    0.004 polygons.py:265(read)
      798    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
       20    0.005    0.000    0.038    0.002 analysis.py:23(compute_use_defs)
        5    0.000    0.000    0.036    0.007 rasters.py:20(read_raster)
     1120    0.006    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
        2    0.000    0.000    0.034    0.017 ir_utils.py:1(<module>)
       13    0.000    0.000    0.034    0.003 gdal.py:5204(GetProjection)
     6745    0.034    0.000    0.034    0.000 {method 'read' of '_io.FileIO' objects}
       13    0.034    0.003    0.034    0.003 {built-in method osgeo._gdal.Dataset_GetProjection}
       18    0.000    0.000    0.033    0.002 postproc.py:42(usedefs)
       70    0.000    0.000    0.032    0.000 _util.py:1148(decorator)
        2    0.000    0.000    0.032    0.016 rules.py:1(<module>)
      686    0.031    0.000    0.031    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.031    0.015 extending.py:1(<module>)
51848/51847    0.003    0.000    0.030    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.030    0.030 runtime.py:1(<module>)
     2438    0.004    0.000    0.030    0.000 textwrap.py:419(dedent)
     1278    0.002    0.000    0.030    0.000 _docscrape.py:201(_read_to_next_section)
        1    0.000    0.000    0.030    0.030 gdal.py:1(<module>)
        1    0.000    0.000    0.030    0.030 f2py2e.py:1(<module>)
     1354    0.001    0.000    0.029    0.000 _docscrape.py:212(_read_sections)
      468    0.000    0.000    0.029    0.000 templates.py:488(apply)
      942    0.010    0.000    0.029    0.000 numpy_support.py:356(ufunc_find_matching_loop)
      468    0.000    0.000    0.029    0.000 templates.py:279(_select)
      172    0.000    0.000    0.029    0.000 _parser.py:979(parse)
        1    0.000    0.000    0.028    0.028 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.028    0.028 __init__.py:140(timezone)
     5876    0.001    0.000    0.028    0.000 ir.py:611(list_vars)
      879    0.025    0.000    0.028    0.000 {built-in method io.open}
      468    0.005    0.000    0.028    0.000 context.py:703(resolve_overload)
  899/172    0.002    0.000    0.028    0.000 _parser.py:456(_parse_sub)
        1    0.000    0.000    0.027    0.027 cffi_utils.py:1(<module>)
        1    0.000    0.000    0.027    0.027 lazy.py:150(_lazy)
     2120    0.002    0.000    0.027    0.000 base.py:352(install_registry)
 1371/207    0.010    0.000    0.027    0.000 _parser.py:516(_parse)
        1    0.000    0.000    0.027    0.027 lazy.py:97(_lazy)
      598    0.000    0.000    0.027    0.000 __init__.py:1125(<genexpr>)
      597    0.000    0.000    0.027    0.000 __init__.py:121(resource_exists)
        2    0.000    0.000    0.027    0.013 builtins.py:1(<module>)
26858/26514    0.004    0.000    0.026    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.026    0.013 _adapters.py:1(<module>)
        2    0.000    0.000    0.026    0.013 untyped_passes.py:79(run_pass)
        2    0.000    0.000    0.026    0.013 interpreter.py:1365(interpret)
        2    0.000    0.000    0.025    0.013 api.py:34(__init__)
        1    0.000    0.000    0.025    0.025 message.py:1(<module>)
      491    0.003    0.000    0.025    0.000 _docscrape.py:224(_parse_param_list)
      598    0.001    0.000    0.024    0.000 __init__.py:78(open_resource)
        1    0.000    0.000    0.024    0.024 callconv.py:1(<module>)
        2    0.000    0.000    0.023    0.011 base.py:1(<module>)
        1    0.000    0.000    0.022    0.022 capi_maps.py:1(<module>)
        2    0.000    0.000    0.022    0.011 untyped_passes.py:1755(run_pass)
        1    0.000    0.000    0.022    0.022 cpu.py:1(<module>)
        2    0.000    0.000    0.022    0.011 wrappers.py:138(build_ufunc_wrapper)
      646    0.013    0.000    0.022    0.000 inspect.py:863(cleandoc)
        1    0.000    0.000    0.021    0.021 __init__.py:13(_ensure_critical_deps)
     3912    0.006    0.000    0.021    0.000 context.py:653(_rate_arguments)
     1123    0.001    0.000    0.021    0.000 extending.py:137(decorate)
        1    0.000    0.000    0.020    0.020 pythonapi.py:1(<module>)
        2    0.000    0.000    0.020    0.010 typed_passes.py:228(run_pass)
        1    0.000    0.000    0.020    0.020 crackfortran.py:1(<module>)
        6    0.000    0.000    0.020    0.003 cpu.py:269(get_executable)
        1    0.000    0.000    0.020    0.020 _misc.py:1(<module>)
11317/11112    0.018    0.000    0.020    0.000 {built-in method __new__ of type object at 0x1059b2e68}
     4563    0.008    0.000    0.020    0.000 _docscrape.py:67(read_to_condition)
     2146    0.001    0.000    0.020    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.020    0.020 rasters.py:1(<module>)
        5    0.000    0.000    0.019    0.004 codegen.py:667(_optimize_final_module)
       65    0.000    0.000    0.019    0.000 dispatcher.py:755(__init__)
     4047    0.019    0.000    0.019    0.000 {built-in method posix.stat}
        4    0.000    0.000    0.019    0.005 registry.py:54(apply)
        1    0.000    0.000    0.019    0.019 _arraypad_impl.py:1(<module>)
        2    0.000    0.000    0.019    0.009 gdal.py:521(UseExceptions)
        1    0.000    0.000    0.019    0.019 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.019    0.019 codegen.py:1(<module>)
        1    0.000    0.000    0.018    0.018 ogr.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _filters.py:1(<module>)
        2    0.000    0.000    0.017    0.009 api.py:1(<module>)
        1    0.000    0.000    0.017    0.017 socket.py:1(<module>)
        1    0.000    0.000    0.017    0.017 multiarray.py:1(<module>)
        1    0.000    0.000    0.017    0.017 geometry.py:287(get_or_create)
        2    0.000    0.000    0.017    0.008 ssa.py:26(reconstruct_ssa)
