%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2009 223 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.51000 57.85 28.80 99.12 0.00 0.00 -999.00 409.89 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.31000 62.32 27.94 99.12 0.00 0.00 -999.00 393.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.07000 68.16 26.70 99.14 0.00 0.00 -999.00 389.42 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.85000 73.45 26.15 99.16 0.00 0.00 -999.00 391.31 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.43000 83.73 25.18 99.10 0.00 0.00 -999.00 394.96 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.65000 85.95 25.10 99.12 0.00 0.00 -999.00 390.31 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.63000 87.47 24.92 99.16 0.00 0.01 -999.00 387.60 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.85000 86.73 25.59 99.21 0.00 62.72 -999.00 382.70 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.99000 81.00 27.03 99.21 0.00 233.02 -999.00 385.54 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 51.91 30.95 99.24 0.00 451.76 -999.00 394.87 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.66000 47.49 32.06 99.23 0.00 639.89 -999.00 407.36 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 40.02 33.52 99.20 0.00 818.58 -999.00 410.66 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.17000 37.55 34.34 99.11 0.00 915.90 -999.00 419.26 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.99000 36.05 35.13 99.03 0.00 895.06 -999.00 430.22 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.88000 32.51 36.30 98.96 0.00 916.43 -999.00 432.10 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.86000 23.95 37.66 98.88 0.00 822.85 -999.00 436.72 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.91000 27.91 37.96 98.80 0.00 618.96 -999.00 438.78 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 25.87 37.74 98.73 0.01 458.42 -999.00 437.14 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.25000 25.43 37.18 98.74 0.00 258.27 -999.00 434.42 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 26.15 35.86 98.75 0.00 84.66 -999.00 427.33 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.43000 28.35 34.20 98.79 0.00 1.59 -999.00 426.41 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.79000 44.65 32.09 98.84 0.00 0.00 -999.00 420.31 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.94000 45.65 31.66 98.94 0.00 0.00 -999.00 423.51 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2009 223 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.89000 50.08 29.94 98.95 0.00 0.00 -999.00 419.01 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
